Datum;von;bis;Einheit;Deutschland pos;Deutschland neg;50Hertz pos;50Hertz neg;Amprion pos;Amprion neg;TenneT TSO pos;TenneT TSO neg;TransnetBW pos;TransnetBW neg;Molabweichung
2025-05-01;12:45;13:00;MW;1.836;10.527;0.032;1.875;0.315;2.103;1.054;3.334;0.435;3.215;0
2025-05-01;13:00;13:15;MW;3.165;11.748;0.240;1.667;0.007;1.811;2.561;2.940;0.357;5.330;0
2025-05-01;13:15;13:30;MW;1.914;15.739;0.000;1.609;0.092;2.668;1.038;3.357;0.784;8.105;0
2025-05-01;13:30;13:45;MW;2.085;9.495;0.000;1.011;0.085;2.355;1.153;2.773;0.847;3.356;0
2025-05-01;13:45;14:00;MW;1.159;15.220;0.000;3.963;0.012;4.609;0.576;2.929;0.571;3.719;0
2025-05-01;14:00;14:15;MW;2.060;6.820;0.097;0.656;0.088;1.576;0.904;2.852;0.971;1.736;0
2025-05-01;14:15;14:30;MW;6.100;5.544;0.001;0.776;0.386;1.333;0.531;2.580;5.182;0.855;0
2025-05-01;14:30;14:45;MW;6.605;53.789;0.000;6.141;0.024;4.823;0.675;3.769;5.906;39.056;0
2025-05-01;14:45;15:00;MW;4.729;8.967;0.291;0.649;0.016;0.860;1.423;5.187;2.999;2.271;0
2025-05-01;15:00;15:15;MW;4.094;9.088;0.638;0.558;0.252;1.379;2.929;5.062;0.275;2.089;0
2025-05-01;15:15;15:30;MW;1.607;39.308;0.024;4.249;0.169;6.094;0.521;4.199;0.893;24.766;0
2025-05-01;15:30;15:45;MW;1.280;88.614;0.296;8.661;0.003;11.294;0.580;4.494;0.401;64.165;0
2025-05-01;15:45;16:00;MW;1.693;10.023;0.162;4.278;0.299;1.684;0.690;2.793;0.542;1.268;0
2025-05-01;16:00;16:15;MW;4.317;7.421;0.206;1.485;0.023;0.972;3.092;4.510;0.996;0.454;0
2025-05-01;16:15;16:30;MW;4.921;12.354;1.594;2.130;0.265;3.341;1.937;3.474;1.125;3.409;0
2025-05-01;16:30;16:45;MW;16.779;9.110;3.475;1.738;0.597;1.232;3.146;3.175;9.561;2.965;0
2025-05-01;16:45;17:00;MW;15.356;15.622;3.463;1.156;0.667;0.683;4.850;4.377;6.376;9.406;0
2025-05-01;17:00;17:15;MW;13.908;10.819;4.066;1.153;0.008;3.101;6.169;6.107;3.665;0.458;0
2025-05-01;17:15;17:30;MW;51.649;76.756;22.620;1.966;0.121;2.347;9.826;6.207;19.082;66.236;0
2025-05-01;17:30;17:45;MW;258.875;9.280;95.794;0.091;0.503;1.174;29.317;5.477;133.261;2.538;0
2025-05-01;17:45;18:00;MW;101.512;14.676;54.668;0.406;0.180;1.419;17.540;4.121;29.124;8.730;0
2025-05-01;18:00;18:15;MW;13.235;136.895;0.005;1.843;0.660;0.871;2.736;7.838;9.834;126.343;0
2025-05-01;18:15;18:30;MW;20.997;123.207;3.528;1.623;0.098;1.455;5.597;8.439;11.774;111.690;0
2025-05-01;18:30;18:45;MW;38.037;15.456;14.072;1.698;0.180;1.668;7.645;6.876;16.140;5.214;0
2025-05-01;18:45;19:00;MW;13.088;13.377;4.707;0.951;0.370;1.681;2.149;8.052;5.862;2.693;0
2025-05-01;19:00;19:15;MW;6.267;17.538;0.000;3.226;0.002;3.073;1.786;9.897;4.479;1.342;0
2025-05-01;19:15;19:30;MW;6.696;17.566;1.102;2.212;0.014;2.495;2.931;7.633;2.649;5.226;0
2025-05-01;19:30;19:45;MW;58.704;8.896;26.722;0.105;0.350;0.877;20.045;7.406;11.587;0.508;0
2025-05-01;19:45;20:00;MW;35.042;11.342;26.837;0.489;1.671;0.757;4.285;8.653;2.249;1.443;0
2025-05-01;20:00;20:15;MW;21.178;10.017;1.546;0.836;0.699;1.418;15.898;7.368;3.035;0.395;0
2025-05-01;20:15;20:30;MW;2.467;12.617;0.116;1.126;0.000;2.402;2.060;7.746;0.291;1.343;0
